gir1.2-gweather-4.0	4.4.2-1build1
gir1.2-handy-1	1.8.3-1build2
gir1.2-harfbuzz-0.0	8.3.0-2build2
gir1.2-ibus-1.0	1.5.29-2
gir1.2-javascriptcoregtk-4.1	2.48.7-0ubuntu0.24.04.2
gir1.2-javascriptcoregtk-6.0	2.48.7-0ubuntu0.24.04.2
gir1.2-keybinder-3.0	0.3.2-1.1build2
gir1.2-mutter-14	46.2-1ubuntu0.24.04.10
gir1.2-nm-1.0	1.46.0-1ubuntu2.4
gir1.2-nma4-1.0	1.10.6-3build2
gir1.2-notify-0.7	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.4
gir1.2-pango-1.0	1.52.1+ds-1build1
gir1.2-peas-1.0	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.2
gir1.2-rsvg-2.0	2.58.0+dfsg-1build1
gir1.2-secret-1	0.21.4-1build3
gir1.2-snapd-2	1.64-0ubuntu5
gir1.2-soup-3.0	3.4.4-5ubuntu0.5
gir1.2-udisks-2.0	2.10.1-6ubuntu1.3
gir1.2-upowerglib-1.0	1.90.3-1
gir1.2-vte-2.91	0.76.0-1ubuntu0.1
gir1.2-webkit-6.0	2.48.7-0ubuntu0.24.04.2
gir1.2-webkit2-4.1	2.48.7-0ubuntu0.24.04.2
gir1.2-wnck-3.0	43.0-3build4
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gjs	1.80.2-1build2
gkbd-capplet	3.28.1-1build3
glib-networking	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glslc	2023.8-1build1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-browser-connector	42.1-4
gnome-calculator	1:46.3-0ubuntu0.1
gnome-characters	46.0-1build1
gnome-clocks	46.0-1build1
gnome-control-center	1:46.7-0ubuntu0.24.04.3
gnome-control-center-data	1:46.7-0ubuntu0.24.04.3
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.3
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-font-viewer	46.0-1build1
gnome-initial-setup	46.3-1ubuntu3~24.04.2
gnome-keyring	46.1-2build1
gnome-keyring-pkcs11	46.1-2build1
gnome-logs	45.0-1build1
gnome-menus	3.36.0-1.1ubuntu3
gnome-online-accounts	3.50.4-0ubuntu2
gnome-power-manager	43.0-2build2
gnome-remote-desktop	46.3-0ubuntu1.1
gnome-session-bin	46.0-1ubuntu4
gnome-session-canberra	0.30-10ubuntu10
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon	46.0-1ubuntu1
gnome-settings-daemon-common	46.0-1ubuntu1
gnome-shell	46.0-0ubuntu6~24.04.11
gnome-shell-common	46.0-0ubuntu6~24.04.11
gnome-shell-extension-appindicator	58-1ubuntu24.04.1
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu4
gnome-shell-extension-manager	0.5.0-1build1
gnome-shell-extension-prefs	46.0-0ubuntu6~24.04.11
gnome-shell-extension-ubuntu-dock	90ubuntu3
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1
gnome-startup-applications	46.0-1ubuntu4
gnome-system-monitor	46.0-1build1
gnome-terminal	3.52.0-1ubuntu2
gnome-terminal-data	3.52.0-1ubuntu2
gnome-text-editor	46.3-0ubuntu2
gnome-themes-extra	3.28-2ubuntu5
gnome-themes-extra-data	3.28-2ubuntu5
gnome-tweaks	46.0-2
gnome-user-docs	46.0-1ubuntu1
